Teaching_Rating,Inter_Outlook_Rating,Research_Rating,Citations_Rating,Industry_Income_Rating,Num_Students,Student/Staff_Ratio,%_Inter_Students,%_Female_Students
1_California Institute of Technology_United States of America,4.27456366326,0.654655420352,3.5589737825,1.79403942701,2.50924248461,-0.973312188802,-0.976559116558,1.33621923312,-1.41713298259,1
2_University of Oxford_United Kingdom,3.6669260518,1.93865582544,3.62557194494,1.75704148563,1.29532413646,-0.186764319736,-0.599953994633,1.99280921298,-0.30833197304,1
3_Stanford University_United States of America,4.06756623518,1.17416874215,3.48725268449,1.79773922115,0.813688516549,-0.379129472371,-0.904443242147,0.867226390362,-0.649501514439,1
4_University of Cambridge_United Kingdom,3.78044077042,1.81616894469,3.51286736235,1.69044519115,0.405772634379,-0.236023682208,-0.583928244764,1.99280921298,-0.30833197304,1
5_Massachusetts Institute of Technology_United States of America,3.8605688071,1.49939252896,3.09790958098,1.79033963287,2.39129090422,-0.580349740753,-0.808288742932,1.89901064443,-1.07596344119,1
6_Harvard University_United States of America,3.47328329649,1.21218191204,3.63069488051,1.79403942701,-0.0758629855338,-0.17639626964,-0.816301617867,1.14862209602,-0.734793899789,1
7_Princeton University_United States of America,3.57344334234,1.26708982409,3.26696645487,1.77554045632,0.263247808078,-0.720296168011,-0.856365992539,1.33621923312,-0.393624358389,1
8_Imperial College London_United Kingdom,3.45325128732,2.00623479413,3.09278664541,1.67934580873,0.341882195003,-0.402980437398,-0.591941119698,3.58738487835,-1.07596344119,1
9_ETH Zurich ÉÄì Swiss Federal Institute of Technology Zurich_Switzerland,3.03257909477,2.08648481945,3.42577745762,1.472157337,1.63443493007,-0.264235458005,-0.351554871661,2.27420491863,-1.58771775329,1
10_University of Chicago_United States of America,3.61350736068,0.696892275783,3.1132783877,1.77184066218,-0.498522815253,-0.440314317357,-0.976559116558,0.773427821811,-0.649501514439,1
11_Johns Hopkins University_United States of America,3.07264311311,0.908076552935,3.19012242129,1.7348427208,2.61736476663,-0.399954568701,-1.2409839894,0.961024958914,0.0328375683597,1
12_Yale University_United States of America,3.6669260518,0.667326476981,3.05692609641,1.69784477942,-0.169241320007,-0.550224547985,-1.17688098992,0.67962925326,0.0328375683597,1
13_University of California. Berkeley_United States of America,3.25960853202,0.565958023948,3.22598297029,1.79033963287,0.0568325424013,0.537085769996,-0.215335997773,0.210636410503,0.0328375683597,1
14_University College London_United Kingdom,3.10602979506,1.93865582544,3.22086003472,1.58685095528,-0.306851497124,0.110838766274,-0.672069869044,3.11839203559,0.544591880459,1
15_Columbia University_United States of America,3.62686203346,1.05590554694,2.77004170435,1.73114292666,-0.125009477362,0.0417777630611,-1.0566878659,1.43001780167,0.374007109759,1
16_University of California. Los Angeles_United States of America,3.28631787758,0.33365531908,3.09790958098,1.74594210322,0.0568325424013,0.626971869538,-0.704121368782,0.210636410503,0.203422339059,1
17_University of Pennsylvania_United States of America,3.36644591426,0.0422210166097,3.01081967625,1.74964189735,0.0568325424013,-0.166428702166,-1.0086106163,0.67962925326,0.11812995371,1
18_Cornell University_United States of America,3.09267512228,0.650431734809,2.96983619167,1.69784477942,-0.641047641553,-0.11979472577,-0.712134243717,0.585830684708,-0.13774720234,1
19_University of Toronto_Canada,2.95912839448,1.23752402529,3.13377012999,1.46475774873,0.115808332595,1.87256181924,0.0330631251988,0.210636410503,-0.0951010096651,1
20_Duke University_United States of America,2.96580573087,0.337879004623,2.55487841031,1.76444107391,2.61736476663,-0.397996653661,-1.14482949018,0.398233547606,-0.0524548169901,1
21_University of Michigan_United States of America,3.01922442199,0.219615809418,2.92372977152,1.59425054356,0.469663073755,0.786274956846,-0.808288742932,0.304434979054,-0.13774720234,1
22_Carnegie Mellon University_United States of America,2.39155480135,0.363221117882,3.10815545213,1.76814086804,0.528638863948,-0.544261806728,-0.479760870614,2.08660778153,-0.905378670488,1
23_London School of Economics and Political Science_United Kingdom,2.55181087471,1.9048663411,2.68807473519,1.59055074942,-0.714767379295,-0.235244965999,-0.439696495941,2.13350706581,-0.0951010096651,1
24_University of Edinburgh_United Kingdom,2.47168283803,1.74436629046,2.51389492573,1.66454663218,-0.523096061167,0.0737718747299,-0.399632121268,2.18040635008,0.715176651158,1
25_Northwestern University_United States of America,2.55181087471,0.228063180504,2.5753701526,1.67194622046,1.69341072027,-0.257293759229,-0.423670746072,0.210636410503,-0.13774720234,1
26_National University of Singapore_Singapore,2.67868026611,2.01468216522,2.88786922252,1.03928142285,0.150210876874,0.33266164064,-0.287451872184,1.99280921298,-0.0524548169901,1
27_King'Äôs College London_United Kingdom,2.19791204605,1.91331371218,2.44217382772,1.57205177873,-0.326510093856,-0.121129667842,-0.615979744502,2.27420491863,0.971053807208,1
28_Karolinska Institute_Sweden,1.93749592685,1.03901080477,2.71368941306,1.51285507252,1.4280196644,-0.727193368718,-0.607966869568,0.867226390362,1.73868527536,1
29_LMU Munich_Germany,2.59855222944,0.603971193836,2.52414079688,1.27236845355,2.61736476663,0.515059225801,-0.287451872184,0.0230392734004,1.05634619256,1
30_New York University_United States of America,2.87900035781,0.0337736455236,2.26287108269,1.6275486908,-0.803231064585,0.798289435498,-0.984571991493,0.585830684708,0.459299495109,1
31_êcole Polytechnique FÇdÇrale de Lausanne_Switzerland,1.98423728158,2.11605061825,2.01697017521,1.60165013183,0.916896149388,-0.643003022018,-0.688095618913,3.868780584,-1.92888729469,1
32_University of Washington_United States of America,2.37152279218,0.114023670842,2.14504356452,1.74964189735,-0.179070618372,0.885683643172,-0.583928244764,0.0230392734004,0.288714724409,1
